Number;Level/Layer;Parameter;Forecast Valid;Description
091;500 mb;RH;analysis;Relative Humidity [%]
092;500 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
093.1;500 mb;UGRD;analysis;U-Component of Wind [m/s]
093.2;500 mb;VGRD;analysis;V-Component of Wind [m/s]
094;500 mb;ABSV;analysis;Absolute Vorticity [1/s]
095;500 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
096;550 mb;HGT;analysis;Geopotential Height [gpm]
097;550 mb;TMP;analysis;Temperature [K]
098;550 mb;RH;analysis;Relative Humidity [%]
099;550 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
100.1;550 mb;UGRD;analysis;U-Component of Wind [m/s]
100.2;550 mb;VGRD;analysis;V-Component of Wind [m/s]
101;550 mb;ABSV;analysis;Absolute Vorticity [1/s]
102;550 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
103;600 mb;HGT;analysis;Geopotential Height [gpm]
104;600 mb;TMP;analysis;Temperature [K]
105;600 mb;RH;analysis;Relative Humidity [%]
106;600 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
107.1;600 mb;UGRD;analysis;U-Component of Wind [m/s]
107.2;600 mb;VGRD;analysis;V-Component of Wind [m/s]
108;600 mb;ABSV;analysis;Absolute Vorticity [1/s]
109;600 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
110;650 mb;HGT;analysis;Geopotential Height [gpm]
111;650 mb;TMP;analysis;Temperature [K]
112;650 mb;RH;analysis;Relative Humidity [%]
113;650 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
114.1;650 mb;UGRD;analysis;U-Component of Wind [m/s]
114.2;650 mb;VGRD;analysis;V-Component of Wind [m/s]
115;650 mb;ABSV;analysis;Absolute Vorticity [1/s]
116;650 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
117;700 mb;HGT;analysis;Geopotential Height [gpm]
118;700 mb;TMP;analysis;Temperature [K]
119;700 mb;RH;analysis;Relative Humidity [%]
120;700 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
121.1;700 mb;UGRD;analysis;U-Component of Wind [m/s]
121.2;700 mb;VGRD;analysis;V-Component of Wind [m/s]
122;700 mb;ABSV;analysis;Absolute Vorticity [1/s]
123;700 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
124;750 mb;HGT;analysis;Geopotential Height [gpm]
125;750 mb;TMP;analysis;Temperature [K]
126;750 mb;RH;analysis;Relative Humidity [%]
127;750 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
128.1;750 mb;UGRD;analysis;U-Component of Wind [m/s]
128.2;750 mb;VGRD;analysis;V-Component of Wind [m/s]
129;750 mb;ABSV;analysis;Absolute Vorticity [1/s]
130;750 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
131;800 mb;HGT;analysis;Geopotential Height [gpm]
132;800 mb;TMP;analysis;Temperature [K]
133;800 mb;RH;analysis;Relative Humidity [%]
134;800 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
135.1;800 mb;UGRD;analysis;U-Component of Wind [m/s]
135.2;800 mb;VGRD;analysis;V-Component of Wind [m/s]
136;800 mb;ABSV;analysis;Absolute Vorticity [1/s]
137;800 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
138;850 mb;HGT;analysis;Geopotential Height [gpm]
139;850 mb;TMP;analysis;Temperature [K]
140;850 mb;RH;analysis;Relative Humidity [%]
141;850 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
142.1;850 mb;UGRD;analysis;U-Component of Wind [m/s]
142.2;850 mb;VGRD;analysis;V-Component of Wind [m/s]
143;850 mb;ABSV;analysis;Absolute Vorticity [1/s]
144;850 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
145;900 mb;HGT;analysis;Geopotential Height [gpm]
146;900 mb;TMP;analysis;Temperature [K]
147;900 mb;RH;analysis;Relative Humidity [%]
148;900 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
149.1;900 mb;UGRD;analysis;U-Component of Wind [m/s]
149.2;900 mb;VGRD;analysis;V-Component of Wind [m/s]
150;900 mb;ABSV;analysis;Absolute Vorticity [1/s]
151;900 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
152;925 mb;HGT;analysis;Geopotential Height [gpm]
153;925 mb;TMP;analysis;Temperature [K]
154;925 mb;RH;analysis;Relative Humidity [%]
155;925 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
156.1;925 mb;UGRD;analysis;U-Component of Wind [m/s]
156.2;925 mb;VGRD;analysis;V-Component of Wind [m/s]
157;925 mb;ABSV;analysis;Absolute Vorticity [1/s]
158;925 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
159;950 mb;HGT;analysis;Geopotential Height [gpm]
160;950 mb;TMP;analysis;Temperature [K]
161;950 mb;RH;analysis;Relative Humidity [%]
162;950 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
163.1;950 mb;UGRD;analysis;U-Component of Wind [m/s]
163.2;950 mb;VGRD;analysis;V-Component of Wind [m/s]
164;950 mb;ABSV;analysis;Absolute Vorticity [1/s]
165;950 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
166;surface;HINDEX;analysis;Haines Index [-]
167;975 mb;HGT;analysis;Geopotential Height [gpm]
168;975 mb;TMP;analysis;Temperature [K]
169;975 mb;RH;analysis;Relative Humidity [%]
170;975 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
171.1;975 mb;UGRD;analysis;U-Component of Wind [m/s]
171.2;975 mb;VGRD;analysis;V-Component of Wind [m/s]
172;975 mb;ABSV;analysis;Absolute Vorticity [1/s]
173;975 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
174;1000 mb;TMP;analysis;Temperature [K]
175;1000 mb;RH;analysis;Relative Humidity [%]
176;1000 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
177.1;1000 mb;UGRD;analysis;U-Component of Wind [m/s]
177.2;1000 mb;VGRD;analysis;V-Component of Wind [m/s]
178;1000 mb;ABSV;analysis;Absolute Vorticity [1/s]
179;1000 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
180;mean sea level;MSLET M;analysis;(Eta model reduction) [Pa]
181;1000 mb;HGT;analysis;Geopotential Height [gpm]
182;surface;PRES;analysis;Pressure [Pa]
183;surface;HGT;analysis;Geopotential Height [gpm]
184;surface;TMP;analysis;Temperature [K]
185;0-0.1 m below ground;TMP;analysis;Temperature [K]
186;0-0.1 m below ground;SOILW;analysis;Volumetric Soil Moisture Content [Fraction]
187;0.1-0.4 m below ground;TMP;analysis;Temperature [K]
188;0.1-0.4 m below ground;SOILW;analysis;Volumetric Soil Moisture Content [Fraction]
189;0.4-1 m below ground;TMP;analysis;Temperature [K]
190;0.4-1 m below ground;SOILW;analysis;Volumetric Soil Moisture Content [Fraction]
191;1-2 m below ground;TMP;analysis;Temperature [K]
192;1-2 m below ground;SOILW;analysis;Volumetric Soil Moisture Content [Fraction]
193;surface;WEASD;analysis;Water Equivalent of Accumulated Snow Depth [kg/m^2]
194;2 m above ground;TMP;analysis;Temperature [K]
195;2 m above ground;SPFH;analysis;Specific Humidity [kg/kg]
196;2 m above ground;RH;analysis;Relative Humidity [%]
197.1;10 m above ground;UGRD;analysis;U-Component of Wind [m/s]
197.2;10 m above ground;VGRD;analysis;V-Component of Wind [m/s]
198;surface;WILT;analysis;Wilting Point [Fraction]
199;surface;FLDCP;analysis;Field Capacity [fraction]
200;surface;SUNSD;analysis;Sunshine Duration [s]
201;surface;LFTX;analysis;Surface Lifted Index [K]
202;surface;CAPE;analysis;Convective Available Potential Energy [J/kg]
203;surface;CIN;analysis;Convective Inhibition [J/kg]
204;entire atmosphere (considered as a single layer);PWAT;analysis;Precipitable Water [kg/m^2]
205;entire atmosphere (considered as a single layer);CWAT;analysis;Cloud Water [kg/m^2]
206;entire atmosphere (considered as a single layer);RH;analysis;Relative Humidity [%]
207;entire atmosphere (considered as a single layer);TOZNE;analysis;Total Ozone [Dobson]
208;convective cloud layer;TCDC;analysis;Total Cloud Cover [%]
209;3000-0 m above ground;HLCY;analysis;Storm Relative Helicity [m^2/s^2]
210;6000-0 m above ground;USTM;analysis;U-Component Storm Motion [m/s]
211;6000-0 m above ground;VSTM;analysis;V-Component Storm Motion [m/s]
212;tropopause;PRES;analysis;Pressure [Pa]
213;tropopause;ICAHT I;analysis;Standard Atmosphere Reference Height [m]
214;tropopause;HGT;analysis;Geopotential Height [gpm]
215;tropopause;TMP;analysis;Temperature [K]
216.1;tropopause;UGRD;analysis;U-Component of Wind [m/s]
216.2;tropopause;VGRD;analysis;V-Component of Wind [m/s]
217;tropopause;VWSH;analysis;Vertical speed sheer [1/s]
218;max wind;PRES;analysis;Pressure [Pa]
219;max wind;ICAHT I;analysis;Standard Atmosphere Reference Height [m]
220;max wind;HGT;analysis;Geopotential Height [gpm]
221.1;max wind;UGRD;analysis;U-Component of Wind [m/s]
221.2;max wind;VGRD;analysis;V-Component of Wind [m/s]
222;max wind;TMP;analysis;Temperature [K]
223;80 m above ground;TMP;analysis;Temperature [K]
224;80 m above ground;SPFH;analysis;Specific Humidity [kg/kg]
225;80 m above ground;PRES;analysis;Pressure [Pa]
226.1;80 m above ground;UGRD;analysis;U-Component of Wind [m/s]
226.2;80 m above ground;VGRD;analysis;V-Component of Wind [m/s]
227;100 m above ground;TMP;analysis;Temperature [K]
228.1;100 m above ground;UGRD;analysis;U-Component of Wind [m/s]
228.2;100 m above ground;VGRD;analysis;V-Component of Wind [m/s]
229;1829 m above mean sea level;TMP;analysis;Temperature [K]
230.1;1829 m above mean sea level;UGRD;analysis;U-Component of Wind [m/s]
230.2;1829 m above mean sea level;VGRD;analysis;V-Component of Wind [m/s]
231;2743 m above mean sea level;TMP;analysis;Temperature [K]
232.1;2743 m above mean sea level;UGRD;analysis;U-Component of Wind [m/s]
232.2;2743 m above mean sea level;VGRD;analysis;V-Component of Wind [m/s]
233;3658 m above mean sea level;TMP;analysis;Temperature [K]
234.1;3658 m above mean sea level;UGRD;analysis;U-Component of Wind [m/s]
234.2;3658 m above mean sea level;VGRD;analysis;V-Component of Wind [m/s]
235;0C isotherm;HGT;analysis;Geopotential Height [gpm]
236;0C isotherm;RH;analysis;Relative Humidity [%]
237;highest tropospheric freezing level;HGT;analysis;Geopotential Height [gpm]
238;highest tropospheric freezing level;RH;analysis;Relative Humidity [%]
239;30-0 mb above ground;TMP;analysis;Temperature [K]
240;30-0 mb above ground;RH;analysis;Relative Humidity [%]
241;30-0 mb above ground;SPFH;analysis;Specific Humidity [kg/kg]
242.1;30-0 mb above ground;UGRD;analysis;U-Component of Wind [m/s]
242.2;30-0 mb above ground;VGRD;analysis;V-Component of Wind [m/s]
243;surface;4LFTX;analysis;Best (4 layer) Lifted Index [K]
244;180-0 mb above ground;CAPE;analysis;Convective Available Potential Energy [J/kg]
245;180-0 mb above ground;CIN;analysis;Convective Inhibition [J/kg]
246;surface;HPBL;analysis;Planetary Boundary Layer Height [m]
247;0.33-1 sigma layer;RH;analysis;Relative Humidity [%]
248;0.44-1 sigma layer;RH;analysis;Relative Humidity [%]
249;0.72-0.94 sigma layer;RH;analysis;Relative Humidity [%]
250;0.44-0.72 sigma layer;RH;analysis;Relative Humidity [%]
251;0.995 sigma level;TMP;analysis;Temperature [K]
252;0.995 sigma level;POT;analysis;Potential Temperature [K]
253;0.995 sigma level;RH;analysis;Relative Humidity [%]
254.1;0.995 sigma level;UGRD;analysis;U-Component of Wind [m/s]
